operation,type,manufacturer,engine_type,engines,year_manufacturing,seating,fatalities
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008,73,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1983,7,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,HELICÓPTERO,ROBINSON HELICOPTER,PISTÃO,MONOMOTOR,1997,4,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002,184,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002,184,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2008,184,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1978,2,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1993,156,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1993,156,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,1997,54,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,1997,54,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,1997,54,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1979,8,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2008,73,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1984,5,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002,242,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,TURBOÉLICE,BIMOTOR,1980,7,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1975,1,0
OPERADOR PARTICULAR,AVIÃO,PILATUS,TURBOÉLICE,MONOMOTOR,2006,10,0
OPERADOR DE AERONAVE,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,2009,21,0
OPERADOR DE AERONAVE,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,2009,21,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,2006,11,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,2006,11,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,1991,7,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2005,166,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2009,154,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2009,154,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,4,0
OPERADOR PARTICULAR,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1979,8,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1969,2,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1969,2,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1969,2,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1969,2,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1969,2,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1969,2,0
OPERADOR PARTICULAR,AVIÃO,DASSAULT AVIATION,JATO,BIMOTOR,1975,9,0
OPERADOR DE AERONAVE,AVIÃO,MCDONNELL DOUGLAS,JATO,TRIMOTOR,1975,7,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1989,6,0
OPERADOR PARTICULAR,AVIÃO,***,PISTÃO,MONOMOTOR,2008,4,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1996,52,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1996,52,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1996,52,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1985,2,0
OPERADOR PARTICULAR,AVIÃO,PILATUS,TURBOÉLICE,MONOMOTOR,2004,10,0
OPERADOR DE AERONAVE,AVIÃO,PILATUS,TURBOÉLICE,MONOMOTOR,2004,10,0
ESCOLA DE AVIAÇÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1972,6,0
ESCOLA DE AVIAÇÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1972,6,0
ESCOLA DE AVIAÇÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1972,6,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2006,194,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978,7,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,93,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2009,197,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2010,73,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1990,7,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1990,7,0
OPERADOR DE AERONAVE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,BIMOTOR,1984,7,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2006,14,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2006,14,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2006,14,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2006,14,0
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2000,2,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,1981,6,0
OPERADOR PARTICULAR,AVIÃO,CIRRUS DESIGN,PISTÃO,MONOMOTOR,2007,4,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1962,4,0
OPERADOR PARTICULAR,AVIÃO,PIPER AIRCRAFT,TURBOÉLICE,BIMOTOR,1978,8,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,2009,6,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1985,11,0
OPERADOR DE AERONAVE,AVIÃO,DASSAULT AVIATION,JATO,TRIMOTOR,2008,17,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1996,52,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1996,52,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1996,52,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,1996,52,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
ESCOLA DE AVIAÇÃO,AVIÃO,PIPER AIRCRAFT,PISTÃO,BIMOTOR,1969,6,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1976,6,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,1981,14,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,1981,14,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,1993,11,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002,184,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002,184,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,125,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,125,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,125,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2001,182,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2001,182,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2001,182,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2006,166,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,2008,6,0
OPERADOR DE AERONAVE,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,2005,13,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2002,154,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,1999,11,0
ÓRGÃO PÚBLICO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,2002,6,0
ÓRGÃO PÚBLICO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,2002,6,0
OPERADOR PARTICULAR,ULTRALEVE,CHS AMAZONAS IMP E EXP LTDA,PISTÃO,MONOMOTOR,2008,2,0
OPERADOR DE AERONAVE,AVIÃO,HAWKER BEECHCRAFT,JATO,BIMOTOR,2008,8,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978,7,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978,7,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,TRIMOTOR,1978,7,0
OPERADOR PARTICULAR,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,BIMOTOR,1997,9,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,93,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,93,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2009,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2009,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2009,73,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1990,156,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1990,156,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,TURBOÉLICE,MONOMOTOR,2008,11,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,TURBOÉLICE,BIMOTOR,1974,17,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2001,184,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2001,184,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,1981,10,0
ESCOLA DE AVIAÇÃO,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1979,2,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2008,15,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2007,14,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2007,14,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2007,14,0
ÓRGÃO PÚBLICO,AVIÃO,EMBRAER,PISTÃO,BIMOTOR,1982,6,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,JATO,BIMOTOR,2009,10,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1984,10,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1993,2,0
OPERADOR DE AERONAVE,AVIÃO,LET AIRCRAFT INDUSTRIES,TURBOÉLICE,BIMOTOR,1990,21,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,93,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,93,0
OPERADOR DE AERONAVE,AVIÃO,LET AIRCRAFT INDUSTRIES,TURBOÉLICE,BIMOTOR,1988,21,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1972,2,0
AEROCLUBE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1972,2,0
OPERADOR DE AERONAVE,AVIÃO,AIRBUS INDUSTRIE,JATO,BIMOTOR,2010,154,0
OPERADOR PARTICULAR,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,0,4,0
ÓRGÃO PÚBLICO,HELICÓPTERO,HELIBRAS,TURBOEIXO,MONOMOTOR,2008,6,0
OPERADOR PARTICULAR,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1975,6,0
OPERADOR PARTICULAR,AVIÃO,DASSAULT AVIATION,JATO,TRIMOTOR,1992,12,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,1999,153,0
FABRICANTE AERONÁUTICO,AVIÃO,EMBRAER,***,SEM TRAÇÃO,0,0,0
OPERADOR PARTICULAR,AVIÃO,ISRAEL AIRCRAFT,JATO,BIMOTOR,1999,12,0
OPERADOR DE AERONAVE,AVIÃO,LET AIRCRAFT INDUSTRIES,TURBOÉLICE,BIMOTOR,2006,21,0
OPERADOR PARTICULAR,HELICÓPTERO,BELL HELICOPTER,TURBOEIXO,MONOMOTOR,1996,7,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008,125,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008,125,0
ÓRGÃO PÚBLICO,HELICÓPTERO,EUROCOPTER FRANCE,TURBOEIXO,MONOMOTOR,1997,6,1
OPERADOR PARTICULAR,ULTRALEVE,***,PISTÃO,MONOMOTOR,2008,2,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1980,10,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1980,10,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2001,194,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008,112,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2008,112,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2010,113,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1980,8,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1990,10,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1990,10,0
OPERADOR DE AERONAVE,AVIÃO,LEARJET,JATO,BIMOTOR,1990,10,0
ÓRGÃO PÚBLICO,AVIÃO,EMBRAER,JATO,BIMOTOR,1999,55,0
AEROCLUBE,AVIÃO,AERO BOERO,PISTÃO,MONOMOTOR,1992,2,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,1984,14,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2010,193,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2009,197,0
OPERADOR DE AERONAVE,AVIÃO,CESSNA AIRCRAFT,PISTÃO,MONOMOTOR,1969,1,0
AEROCLUBE,AVIÃO,NEIVA INDUSTRIA AERONAUTICA,PISTÃO,MONOMOTOR,1980,4,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2010,125,0
OPERADOR DE AERONAVE,AVIÃO,BOEING COMPANY,JATO,BIMOTOR,2006,194,0
OPERADOR DE AERONAVE,AVIÃO,EMBRAER,JATO,BIMOTOR,2009,113,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,TURBOÉLICE,BIMOTOR,1996,8,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2008,14,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2007,14,0
OPERADOR DE AERONAVE,HELICÓPTERO,SIKORSKY AIRCRAFT,TURBOEIXO,BIMOTOR,2007,14,0
OPERADOR PARTICULAR,AVIÃO,BEECH AIRCRAFT,PISTÃO,BIMOTOR,2008,6,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2009,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2009,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2009,73,0
OPERADOR DE AERONAVE,AVIÃO,AEROSPATIALE AND ALENIA,TURBOÉLICE,BIMOTOR,2009,73,0
